pl_id,pl_name,st_mass,pl_orbper,st_teff,st_dist,pl_bmassj,pl_eqt,st_dist_km,years_by_car,years_by_plane,years_by_rocket,pl_mass_e
390,K2-138 b,0.93,2.35322,5378.0,183.0,,1035.0,5650692621494400.0,4438181449.492931,887636289.8985863,22014788.93597684,
394,K2-138 f,0.93,12.757589999999999,5378.0,183.0,,472.0,5650692621494400.0,4438181449.492931,887636289.8985863,22014788.93597684,
393,K2-138 e,0.93,8.261439999999999,5378.0,183.0,,588.0,5650692621494400.0,4438181449.492931,887636289.8985863,22014788.93597684,
392,K2-138 d,0.93,5.4047800000000015,5378.0,183.0,,719.0,5650692621494400.0,4438181449.492931,887636289.8985863,22014788.93597684,
391,K2-138 c,0.93,3.5598699999999996,5378.0,183.0,,867.0,5650692621494400.0,4438181449.492931,887636289.8985863,22014788.93597684,
234,KELT-10 b,1.11,4.1662739,5948.0,183.0,0.679,1104.0,5650692621494400.0,4438181449.492931,887636289.8985863,22014788.93597684,215.78620000000004
292,K2-43 b,0.57,3.4711489999999996,3840.6,183.48,,666.0,5665514110337663.0,4449822581.163732,889964516.2327464,22072532.644661367,
553,K2-43 c,0.57,2.198884,3840.6,183.48,,821.0,5665514110337663.0,4449822581.163732,889964516.2327464,22072532.644661367,
742,K2-279 b,0.79,7.122605,5558.0,183.8,,606.0,5675395102899841.0,4457583335.610933,891516667.1221868,22111028.45045106,
328,WASP-50 b,0.89,1.9551,5400.0,185.82,1.4688,1122.0,5737768868448576.0,4506573098.0588875,901314619.6117775,22354033.224498454,466.78464
96,Kepler-10 c,0.91,45.2946,5708.0,186.5,0.023190000000000002,311.0,5758765977643200.0,4523064701.25919,904612940.251838,22435836.811801534,7.369782000000001
95,Kepler-10 b,0.91,0.837491,5708.0,186.5,0.0145,1857.0,5758765977643200.0,4523064701.25919,904612940.251838,22435836.811801534,4.6081
287,Qatar-1 b,0.84,1.4200242,5013.0,186.61,1.294,1145.0,5762162568836449.0,4525732460.600415,905146492.1200831,22449069.745041743,411.2332
464,Kepler-1656 b,1.03,31.578659000000002,5731.0,186.88,0.15291,378.0,5770499656310782.0,4532280597.165238,906456119.4330478,22481550.58117678,48.594798
424,K2-264 b,0.5,5.840001999999999,3660.0,187.0,,223.0,5774205028521600.0,4535190880.082941,907038176.0165881,22495986.50834792,
